features_names,Feature selected Random Forest Model,Feature selected Boruta
DURATION,1,1
NET_SALES,1,1
AGE,1,1
AGENCY_TYPE,1,0
DISTRIBUTION_CHANNEL,0,0
COMMISION,0,0
GENDER,0,0
ART,0,0
C2B,1,1
CBH,0,0
CCR,0,0
CSR,0,0
CWT,0,0
EPX,1,0
JZI,0,0
KML,0,0
LWC,0,0
RAB,0,0
SSI,0,0
TST,0,0
TTW,0,0
2 way Comprehensive Plan,0,0
24 Protect,0,0
Annual Gold Plan,0,0
Annual Silver Plan,0,0
Annual Travel Protect Gold,0,0
Annual Travel Protect Platinum,0,0
Annual Travel Protect Silver,0,0
Basic Plan,0,0
Bronze Plan,0,0
Cancellation Plan,1,0
Child Comprehensive Plan,0,0
Comprehensive Plan,0,0
Gold Plan,0,0
Individual Comprehensive Plan,0,0
Premier Plan,0,0
Rental Vehicle Excess Insurance,0,0
Silver Plan,0,0
Single Trip Travel Protect Gold,0,0
Single Trip Travel Protect Platinum,0,0
Single Trip Travel Protect Silver,0,0
Spouse or Parents Comprehensive Plan,0,0
Ticket Protector,0,0
Travel Cruise Protect,0,0
Value Plan,0,0
CHINA,0,0
HONG KONG,0,0
INDIA,0,0
INDONESIA,0,0
JAPAN,0,0
"KOREA, REPUBLIC OF",0,0
MALAYSIA,0,0
PHILIPPINES,0,0
SINGAPORE,1,0
"TAIWAN, PROVINCE OF CHINA",0,0
THAILAND,0,0
UNITED KINGDOM,0,0
UNITED STATES,0,0
Uncommon,0,0
VIET NAM,0,0
